word,lang,script,alphabet_profile,weight,category,enabled,notes
fatura,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
rapor,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
teslimat,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
belge,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
müşteri,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
tedarikçi,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
sipariş,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
miktar,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
kalite,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
depo,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
ödeme,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
sözleşme,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
sevkiyat,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
ürün,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
analiz,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
özet,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
kayıt,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
tablo,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
alan,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
yerleşim,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
sayfa,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
satır,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
bölüm,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
başlık,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
üstbilgi,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
altbilgi,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
paragraf,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
cümle,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
kelime,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
numara,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
tarih,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
adres,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
şehir,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
ülke,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
liman,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
terminal,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
gemi,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
yük,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
konteyner,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
barkod,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
referans,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
açıklama,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
kategori,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
durum,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
onay,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
imza,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
kaşe,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
kopya,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
orijinal,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
revizyon,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
hesap,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
bakiye,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
para,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
fiyat,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
iskonto,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
vergi,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
toplam,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
aratoplam,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
birim,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
paket,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
koli,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
palet,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
ağırlık,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
hacim,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
uzunluk,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
genişlik,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
yükseklik,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
sıcaklık,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
saklama,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
envanter,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
stok,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
malzeme,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
ekipman,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
makine,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
araç,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
şoför,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
rota,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
mesafe,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
yakıt,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
geçiş,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
gümrük,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
sertifika,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
lisans,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
izin,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
sigorta,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
denetim,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
kontrol,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
risk,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
sorun,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
not,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
mesaj,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
eposta,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
telefon,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
iletişim,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
departman,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
yönetici,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
çalışan,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
ekip,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
proje,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
görev,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
son_tarih,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
program,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
takvim,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
toplantı,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
karar,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
talep,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
yanıt,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
soru,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
cevap,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
yorum,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
dosya,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
klasör,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
görsel,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
maske,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
etiketleme,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
gerçek_veri,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
veri_seti,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
dışa_aktarım,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
içe_aktarım,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
şablon,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
yazı_tipi,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
boşluk,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
kenar,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
çerçeve,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
hücre,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
sütun,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
grafik,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
şekil,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
formül,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
denklem,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
sembol,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
etiket,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
sınıf,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
örnek,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
parti,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
işçi,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
tohum,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
rastgele,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
filtre,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
dil,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
yazı_sistemi,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
alfabe,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
unicode,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
kodlama,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
biçim,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
şema,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
doğrulama,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
hata,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
uyarı,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
başarı,tr,latin,latin_tr,1.0,business_document_ocr,1,starter_150_review_recommended
