page_id,score,lines,blocks,scripts,layout,density,noise,family,has_table,mask_text_nonzero,flags,script_hist
"000016","279","130","12","8","single_col","normal","clean","notes","True","172042","table;multilingual;layout=single_col;density=normal;noise=clean;family=notes","{""ja"": 1, ""latin"": 105, ""el"": 6, ""he"": 1, ""hi"": 2, ""ru"": 6, ""ar"": 7, ""th"": 2}"
"000012","273","124","12","8","double_col","normal","clean","notes","True","69676","table;multilingual;layout=double_col;density=normal;noise=clean;family=notes","{""el"": 3, ""ru"": 12, ""latin"": 99, ""ar"": 5, ""he"": 1, ""ko"": 1, ""zh"": 2, ""th"": 1}"
"000053","257","104","14","9","single_col","sparse","medium","report","True","171341","table;multilingual;layout=single_col;density=sparse;noise=medium;family=report","{""latin"": 83, ""ru"": 4, ""ar"": 5, ""zh"": 3, ""ko"": 3, ""hi"": 1, ""el"": 3, ""he"": 1, ""th"": 1}"
"000019","256","136","13","4","double_col","normal","medium","academic","True","100489","table;multilingual;layout=double_col;density=normal;noise=medium;family=academic","{""latin"": 111, ""ar"": 8, ""el"": 9, ""ru"": 8}"
"000085","244","95","12","8","single_col","normal","medium","book","True","153153","table;multilingual;layout=single_col;density=normal;noise=medium;family=book","{""latin"": 77, ""ar"": 8, ""el"": 3, ""th"": 1, ""zh"": 1, ""ko"": 1, ""ru"": 2, ""hi"": 2}"
"000001","243","130","8","5","single_col","normal","clean","report","True","123399","table;multilingual;layout=single_col;density=normal;noise=clean;family=report","{""latin"": 114, ""ar"": 6, ""ru"": 3, ""el"": 6, ""hi"": 1}"
"000080","240","102","11","7","single_col","normal","medium","book","True","130439","table;multilingual;layout=single_col;density=normal;noise=medium;family=book","{""latin"": 76, ""ru"": 11, ""el"": 6, ""ar"": 6, ""he"": 1, ""zh"": 1, ""hi"": 1}"
"000045","236","112","9","6","double_col","normal","medium","academic","True","129258","table;multilingual;layout=double_col;density=normal;noise=medium;family=academic","{""el"": 5, ""latin"": 85, ""ru"": 11, ""ar"": 8, ""hi"": 2, ""th"": 1}"
"000094","235","75","13","9","single_col","normal","clean","book","True","175232","table;multilingual;layout=single_col;density=normal;noise=clean;family=book","{""latin"": 45, ""el"": 10, ""ru"": 4, ""hi"": 2, ""ja"": 2, ""ar"": 7, ""zh"": 3, ""he"": 1, ""th"": 1}"
"000077","231","80","10","9","single_col","normal","medium","academic","True","265879","table;multilingual;layout=single_col;density=normal;noise=medium;family=academic","{""ru"": 4, ""hi"": 3, ""ko"": 2, ""th"": 3, ""he"": 5, ""latin"": 54, ""zh"": 1, ""ar"": 5, ""el"": 3}"
"000002","230","108","11","5","single_col","normal","clean","worksheet","True","123754","table;multilingual;layout=single_col;density=normal;noise=clean;family=worksheet","{""latin"": 88, ""ar"": 5, ""el"": 5, ""ru"": 9, ""zh"": 1}"
"000003","228","102","7","7","single_col","normal","medium","worksheet","True","160031","table;multilingual;layout=single_col;density=normal;noise=medium;family=worksheet","{""latin"": 78, ""he"": 2, ""ru"": 7, ""ar"": 11, ""ko"": 2, ""el"": 1, ""zh"": 1}"
"000055","226","90","13","6","single_col","normal","clean","book","True","80968","table;multilingual;layout=single_col;density=normal;noise=clean;family=book","{""latin"": 76, ""ru"": 3, ""ar"": 2, ""el"": 7, ""he"": 1, ""zh"": 1}"
"000028","223","112","8","6","double_col","sparse","medium","report","True","88929","table;multilingual;layout=double_col;density=sparse;noise=medium;family=report","{""latin"": 92, ""el"": 4, ""he"": 1, ""ar"": 6, ""ko"": 1, ""ru"": 8}"
"000031","220","66","11","9","double_col","normal","medium","worksheet","True","62876","table;multilingual;layout=double_col;density=normal;noise=medium;family=worksheet","{""he"": 2, ""ar"": 6, ""latin"": 41, ""el"": 5, ""ko"": 5, ""ru"": 4, ""hi"": 1, ""zh"": 1, ""ja"": 1}"
"000072","217","81","11","8","single_col","sparse","clean","worksheet","True","154111","table;multilingual;layout=single_col;density=sparse;noise=clean;family=worksheet","{""zh"": 2, ""latin"": 63, ""he"": 1, ""ru"": 2, ""ar"": 4, ""el"": 6, ""ko"": 1, ""hi"": 1}"
"000086","217","88","8","7","single_col","normal","medium","book","True","153671","table;multilingual;layout=single_col;density=normal;noise=medium;family=book","{""latin"": 70, ""ar"": 5, ""ru"": 4, ""el"": 4, ""hi"": 2, ""ko"": 2, ""he"": 1}"
"000017","214","75","14","6","double_col","normal","medium","report","True","89484","table;multilingual;layout=double_col;density=normal;noise=medium;family=report","{""latin"": 64, ""el"": 3, ""ar"": 1, ""ru"": 5, ""th"": 1, ""ko"": 1}"
"000057","211","95","9","6","mixed_cols","normal","clean","notes","True","76465","table;multilingual;layout=mixed_cols;density=normal;noise=clean;family=notes","{""latin"": 73, ""el"": 8, ""hi"": 3, ""ru"": 3, ""ko"": 1, ""he"": 2}"
"000027","208","85","12","6","double_col","sparse","medium","worksheet","True","139257","table;multilingual;layout=double_col;density=sparse;noise=medium;family=worksheet","{""latin"": 54, ""el"": 8, ""ru"": 10, ""zh"": 2, ""ar"": 2, ""th"": 1}"
"000089","208","84","9","6","single_col","normal","clean","notes","True","122733","table;multilingual;layout=single_col;density=normal;noise=clean;family=notes","{""latin"": 63, ""ru"": 6, ""el"": 6, ""ar"": 5, ""ko"": 2, ""hi"": 2}"
"000043","207","90","10","6","double_col","sparse","medium","academic","True","111515","table;multilingual;layout=double_col;density=sparse;noise=medium;family=academic","{""latin"": 72, ""ar"": 8, ""ru"": 7, ""ja"": 1, ""he"": 1, ""el"": 1}"
"000059","206","46","13","9","single_col","normal","clean","book","True","207347","table;multilingual;layout=single_col;density=normal;noise=clean;family=book","{""latin"": 32, ""el"": 2, ""ar"": 2, ""ko"": 3, ""zh"": 1, ""he"": 2, ""ru"": 2, ""hi"": 1, ""th"": 1}"
"000006","204","86","13","6","mixed_cols","sparse","clean","report","True","117384","table;multilingual;layout=mixed_cols;density=sparse;noise=clean;family=report","{""latin"": 64, ""el"": 6, ""hi"": 1, ""ar"": 9, ""ru"": 4, ""he"": 2}"
"000074","200","62","11","7","double_col","normal","clean","academic","True","170449","table;multilingual;layout=double_col;density=normal;noise=clean;family=academic","{""zh"": 2, ""latin"": 52, ""el"": 2, ""ar"": 2, ""hi"": 1, ""ru"": 1, ""th"": 2}"
"000095","200","99","4","5","single_col","normal","clean","book","True","80823","table;multilingual;layout=single_col;density=normal;noise=clean;family=book","{""ar"": 5, ""latin"": 86, ""el"": 5, ""ru"": 2, ""he"": 1}"
"000034","199","89","5","7","double_col","sparse","clean","academic","True","79585","table;multilingual;layout=double_col;density=sparse;noise=clean;family=academic","{""latin"": 67, ""hi"": 2, ""ru"": 8, ""el"": 4, ""ar"": 6, ""zh"": 1, ""he"": 1}"
"000036","198","62","11","8","single_col","sparse","medium","book","True","184653","table;multilingual;layout=single_col;density=sparse;noise=medium;family=book","{""ko"": 1, ""latin"": 41, ""ru"": 3, ""hi"": 3, ""ar"": 7, ""ja"": 2, ""el"": 3, ""he"": 1}"
"000092","197","69","13","5","single_col","normal","clean","book","True","329437","table;multilingual;layout=single_col;density=normal;noise=clean;family=book","{""ru"": 6, ""latin"": 53, ""ar"": 7, ""el"": 2, ""hi"": 1}"
"000054","196","79","4","7","single_col","normal","clean","notes","True","148455","table;multilingual;layout=single_col;density=normal;noise=clean;family=notes","{""latin"": 56, ""hi"": 5, ""ko"": 1, ""ru"": 3, ""ar"": 5, ""el"": 7, ""zh"": 2}"
"000064","196","67","11","9","double_col","normal","clean","academic","False","334161","multilingual;layout=double_col;density=normal;noise=clean;family=academic","{""ar"": 6, ""zh"": 1, ""el"": 3, ""latin"": 37, ""hi"": 6, ""he"": 4, ""ru"": 6, ""ko"": 2, ""th"": 2}"
"000098","196","58","11","7","single_col","normal","medium","book","True","136230","table;multilingual;layout=single_col;density=normal;noise=medium;family=book","{""latin"": 43, ""ru"": 5, ""ar"": 4, ""he"": 3, ""hi"": 1, ""zh"": 1, ""th"": 1}"
"000026","194","69","4","8","single_col","normal","medium","book","True","441014","table;multilingual;layout=single_col;density=normal;noise=medium;family=book","{""el"": 3, ""hi"": 3, ""ko"": 2, ""latin"": 50, ""zh"": 1, ""ru"": 4, ""ar"": 2, ""th"": 2}"
"000022","193","49","13","7","double_col","normal","clean","academic","True","86671","table;multilingual;layout=double_col;density=normal;noise=clean;family=academic","{""latin"": 34, ""ar"": 2, ""th"": 2, ""ko"": 1, ""zh"": 2, ""ru"": 3, ""el"": 5}"
"000066","191","86","8","5","mixed_cols","normal","clean","academic","True","123587","table;multilingual;layout=mixed_cols;density=normal;noise=clean;family=academic","{""ru"": 4, ""latin"": 72, ""zh"": 1, ""ar"": 6, ""el"": 3}"
"000021","190","62","11","7","single_col","sparse","medium","report","True","253755","table;multilingual;layout=single_col;density=sparse;noise=medium;family=report","{""latin"": 43, ""el"": 6, ""ar"": 4, ""ru"": 3, ""he"": 1, ""zh"": 2, ""ko"": 1}"
"000025","190","59","12","7","single_col","sparse","medium","book","True","121580","table;multilingual;layout=single_col;density=sparse;noise=medium;family=book","{""latin"": 47, ""hi"": 4, ""el"": 3, ""ko"": 1, ""ar"": 1, ""ru"": 2, ""zh"": 1}"
"000093","190","53","14","7","double_col","sparse","clean","academic","True","93126","table;multilingual;layout=double_col;density=sparse;noise=clean;family=academic","{""latin"": 37, ""ru"": 6, ""ko"": 1, ""el"": 2, ""ar"": 5, ""he"": 1, ""hi"": 1}"
"000011","186","42","11","9","single_col","sparse","medium","worksheet","True","76860","table;multilingual;layout=single_col;density=sparse;noise=medium;family=worksheet","{""ar"": 1, ""latin"": 33, ""th"": 2, ""hi"": 1, ""zh"": 1, ""ru"": 1, ""ja"": 1, ""ko"": 1, ""he"": 1}"
"000015","184","53","9","10","double_col","normal","medium","academic","False","262847","multilingual;layout=double_col;density=normal;noise=medium;family=academic","{""latin"": 31, ""th"": 2, ""ar"": 4, ""ko"": 2, ""ru"": 3, ""he"": 3, ""el"": 1, ""hi"": 3, ""ja"": 1, ""zh"": 3}"
